"film","rotten_tomatoes_score","rotten_tomatoes_counts","metacritic_score","metacritic_counts","cinema_score","imdb_score","imdb_counts"
Toy Story,100.00,96,95.00,26,A,8.3,1089101
A Bug's Life,92.00,91,78.00,23,A,7.2,319596
Toy Story 2,100.00,172,88.00,34,A+,7.9,630573
"Monsters, Inc.",96.00,199,79.00,35,A+,8.1,1000657
Finding Nemo,99.00,270,90.00,38,A+,8.2,1132877
The Incredibles,97.00,250,90.00,41,A+,8.0,828986
Cars,75.00,204,73.00,39,A,7.2,484034
Ratatouille,96.00,253,96.00,37,A,8.1,851229
WALL-E,95.00,261,95.00,39,A,8.4,1226415
Up,98.00,297,88.00,37,A+,8.3,1151249
Toy Story 3,98.00,313,92.00,39,A,8.3,908222
Cars 2,40.00,220,57.00,38,A-,6.2,225724
Brave,79.00,256,69.00,37,A,7.1,452012
Monsters University,80.00,203,65.00,41,A,7.2,398903
Inside Out,98.00,387,94.00,55,A,8.1,834268
The Good Dinosaur,75.00,220,66.00,37,A,6.7,130324
Finding Dory,94.00,339,77.00,48,A,7.2,311793
Cars 3,69.00,234,59.00,41,A,6.7,128849
Coco,97.00,357,81.00,48,A+,8.4,618005
Incredibles 2,93.00,390,80.00,51,A+,7.5,341353
Toy Story 4,97.00,459,84.00,57,A,7.6,288783
Onward,88.00,350,64.00,56,A-,7.4,174917
Soul,95.00,360,83.00,55,,8.0,392783
Luca,91.00,303,71.00,52,,7.4,202404
Turning Red,95.00,289,83.00,52,,7.0,158649
Lightyear,74.00,319,60.00,57,A-,6.1,127045
Elemental,73.00,262,58.00,45,A,7.0,140174
Inside Out 2,90.00,313,73.00,59,A,7.6,168090
